,PA1,PA2,PA3,PA4,PA5,Unique variance,,,PA1,PA2,PA3,PA4,PA5,Unique variance
RRS 01,0.48,-0.18,-0.03,-0.03,-0.12,0.73,,RRS 1,0.48,-0.18,-0.03,-0.03,-0.12,0.73
RRS 02,0.55,0.09,-0.21,-0.13,0.1,0.61,,RRS 2,0.55,0.09,-0.21,-0.13,0.1,0.61
RRS 03,0.49,0.1,-0.17,-0.22,-0.13,0.65,,RRS 3,0.49,0.1,-0.17,-0.22,-0.13,0.65
RRS 04,0.45,-0.1,-0.07,-0.19,-0.24,0.69,,RRS 4,0.45,-0.1,-0.07,-0.19,-0.24,0.69
RRS 5,0.68,-0.15,-0.01,0.12,-0.2,0.46,,RRS 5,0.68,-0.15,-0.01,0.12,-0.2,0.46
RRS 6,0.52,-0.07,-0.21,-0.3,-0.06,0.58,,RRS 6,0.52,-0.07,-0.21,-0.3,-0.06,0.58
RRS 7,0.52,-0.05,-0.08,-0.13,0.31,0.61,,RRS 7,0.52,-0.05,-0.08,-0.13,0.31,0.61
RRS 8,0.52,-0.28,-0.33,-0.04,-0.13,0.53,,RRS 8,0.52,-0.28,-0.33,-0.04,-0.13,0.53
RRS 9,0.58,-0.03,-0.25,-0.23,-0.08,0.53,,RRS 9,0.58,-0.03,-0.25,-0.23,-0.08,0.53
RRS 10,0.67,-0.02,-0.07,-0.15,-0.1,0.51,,RRS 10,0.67,-0.02,-0.07,-0.15,-0.1,0.51
RRS 11,0.62,0.04,0.01,-0.18,0.13,0.57,,RRS 11,0.62,0.04,0.01,-0.18,0.13,0.57
RRS 12,0.15,-0.12,0.04,-0.08,0.44,0.75,,RRS 12,0.15,-0.12,0.04,-0.08,0.44,0.75
RRS 13,0.59,0.06,0.12,-0.18,-0.35,0.5,,RRS 13,0.59,0.06,0.12,-0.18,-0.35,0.5
RRS 14,0.66,-0.01,-0.07,-0.23,-0.01,0.51,,RRS 14,0.66,-0.01,-0.07,-0.23,-0.01,0.51
RRS 15,0.66,0.03,-0.08,0.17,-0.22,0.47,,RRS 15,0.66,0.03,-0.08,0.17,-0.22,0.47
RRS 16,0.76,-0.05,-0.17,-0.13,-0.16,0.35,,RRS 16,0.76,-0.05,-0.17,-0.13,-0.16,0.35
RRS 17,0.64,0.04,-0.07,-0.04,-0.28,0.5,,RRS 17,0.64,0.04,-0.07,-0.04,-0.28,0.5
RRS 18,0.71,-0.01,0,-0.14,-0.46,0.27,,RRS 18,0.71,-0.01,0,-0.14,-0.46,0.27
RRS 19,0.6,-0.1,-0.26,-0.11,-0.12,0.53,,RRS 19,0.6,-0.1,-0.26,-0.11,-0.12,0.53
RRS 20,0.57,-0.08,-0.08,-0.15,0.15,0.61,,RRS 20,0.57,-0.08,-0.08,-0.15,0.15,0.61
RRS 21,0.5,0.02,0.01,-0.22,0.24,0.64,,RRS 21,0.5,0.02,0.01,-0.22,0.24,0.64
RRS 22,0.74,0,-0.07,-0.09,-0.32,0.33,,RRS 22,0.74,0,-0.07,-0.09,-0.32,0.33
TRASH 1,0.63,-0.05,0.26,0.09,0.18,0.49,,TRASH  1_automatically,0.63,-0.05,0.26,0.09,0.18,0.49
TRASH 2,0.53,0.08,0.18,-0.11,0.16,0.65,,trash_02_same_places,0.53,0.08,0.18,-0.11,0.16,0.65
trash_03_hard_not_to,0.66,-0.13,0.22,0.1,-0.02,0.48,,trash_03_hard_not_to,0.66,-0.13,0.22,0.1,-0.02,0.48
trash_04_sad_anx_annoyed,0.54,0.28,-0.01,-0.06,0.26,0.56,,trash_04_sad_anx_annoyed,0.54,0.28,-0.01,-0.06,0.26,0.56
trash_05_unintentionally,0.49,-0.21,0.01,0.06,0.24,0.66,,trash_05_unintentionally,0.49,-0.21,0.01,0.06,0.24,0.66
trash_06_when_alone,0.61,0.05,-0.05,0,0.29,0.54,,trash_06_when_alone,0.61,0.05,-0.05,0,0.29,0.54
trash_07_effort_to_stop,0.58,-0.11,0.06,-0.05,0.05,0.64,,trash_07_effort_to_stop,0.58,-0.11,0.06,-0.05,0.05,0.64
trash_08_same_times_day,0.31,-0.03,0.01,-0.05,0.46,0.68,,trash_08_same_times_day,0.31,-0.03,0.01,-0.05,0.46,0.68
trash_09_start_before_realize,0.55,-0.11,0.21,0.34,0.14,0.5,,trash_09_start_before_realize,0.55,-0.11,0.21,0.34,0.14,0.5
trash_10_response_same_sit,0.4,-0.22,0.06,0.09,0.18,0.75,,trash_10_response_same_sit,0.4,-0.22,0.06,0.09,0.18,0.75
pswq_01_worries_bother_me,0.59,-0.24,0.36,0.01,-0.05,0.46,,pswq_01_worries_bother_me,0.59,-0.24,0.36,0.01,-0.05,0.46
pswq_02_dont_worry_things,0.5,0.27,0.37,0.03,0.01,0.55,,pswq_02_dont_worry_things,0.5,0.27,0.37,0.03,0.01,0.55
pswq_03_things_worry_me,0.59,0.02,0.6,-0.03,0.01,0.29,,pswq_03_things_worry_me,0.59,0.02,0.6,-0.03,0.01,0.29
pswq_04_cant_help_worry,0.56,-0.04,0.54,-0.03,0.14,0.36,,pswq_04_cant_help_worry,0.56,-0.04,0.54,-0.03,0.14,0.36
pswq_05_worry_under_pressure,0.55,-0.09,0.49,-0.14,-0.09,0.44,,pswq_05_worry_under_pressure,0.55,-0.09,0.49,-0.14,-0.09,0.44
pswq_06_always_worrying,0.68,-0.11,0.45,0.12,-0.11,0.28,,pswq_06_always_worrying,0.68,-0.11,0.45,0.12,-0.11,0.28
pswq_07_easy_stop_worrying,0.29,0.07,0.33,-0.05,0,0.8,,pswq_07_easy_stop_worrying,0.29,0.07,0.33,-0.05,0,0.8
pswq_08_worry,0.57,0.05,0.5,0.01,-0.15,0.42,,pswq_08_worry,0.57,0.05,0.5,0.01,-0.15,0.42
pswq_09_never_worry,0.41,0.07,0.37,-0.07,0.24,0.63,,pswq_09_never_worry,0.41,0.07,0.37,-0.07,0.24,0.63
pswq_10_worry_all_my_life,0.5,0.06,0.4,0.07,0.1,0.57,,pswq_10_worry_all_my_life,0.5,0.06,0.4,0.07,0.1,0.57
pswq_11_notice_i_worry,0.43,0.01,0.44,-0.09,0.06,0.62,,pswq_11_notice_i_worry,0.43,0.01,0.44,-0.09,0.06,0.62
pswq_12_start_worry_cant_stop,0.66,-0.06,0.45,0.01,-0.03,0.36,,pswq_12_start_worry_cant_stop,0.66,-0.06,0.45,0.01,-0.03,0.36
pswq_13_worry_all_time,0.66,-0.07,0.48,0.09,-0.05,0.32,,pswq_13_worry_all_time,0.66,-0.07,0.48,0.09,-0.05,0.32
pswq_14_worry_till_thngs_done,0.54,0.02,0.3,0.16,-0.06,0.59,,pswq_14_worry_till_thngs_done,0.54,0.02,0.3,0.16,-0.06,0.59
sari_01_angry,0.41,0.56,0,0.11,-0.12,0.48,,sari_01_angry,0.41,0.56,0,0.11,-0.12,0.48
sari_02_angry,0.49,0.68,0.01,0.01,-0.08,0.29,,sari_02_angry,0.49,0.68,0.01,0.01,-0.08,0.29
sari_03_angry,0.47,0.58,-0.14,-0.14,0.19,0.38,,sari_03_angry,0.47,0.58,-0.14,-0.14,0.19,0.38
sari_04_angry,0.58,0.58,-0.01,0.05,-0.04,0.31,,sari_04_angry,0.58,0.58,-0.01,0.05,-0.04,0.31
sari_05_angry,0.52,0.55,0.01,-0.04,-0.01,0.43,,sari_05_angry,0.52,0.55,0.01,-0.04,-0.01,0.43
sari_07_angry,0.55,0.61,-0.02,-0.05,0.07,0.32,,sari_07_angry,0.55,0.61,-0.02,-0.05,0.07,0.32
sari_08_angry,0.49,0.62,-0.05,0.08,-0.01,0.36,,sari_08_angry,0.49,0.62,-0.05,0.08,-0.01,0.36
sari_09_angry,0.52,0.75,0.04,-0.11,0.03,0.18,,sari_09_angry,0.52,0.75,0.04,-0.11,0.03,0.18
sari_10_angry,0.3,0.67,-0.07,0.19,-0.09,0.37,,sari_10_angry,0.3,0.67,-0.07,0.19,-0.09,0.37
sari_11_angry,0.42,0.7,0.1,0.01,0,0.34,,sari_11_angry,0.42,0.7,0.1,0.01,0,0.34
sari_01_sad,0.54,0.05,0.02,0.38,0.13,0.54,,sari_01_sad,0.54,0.05,0.02,0.38,0.13,0.54
sari_02_sad,0.68,-0.02,-0.19,0.33,-0.05,0.4,,sari_02_sad,0.68,-0.02,-0.19,0.33,-0.05,0.4
sari_03_sad,0.64,-0.09,-0.25,0.3,0.23,0.4,,sari_03_sad,0.64,-0.09,-0.25,0.3,0.23,0.4
sari_04_sad,0.6,0.11,-0.08,0.44,-0.04,0.42,,sari_04_sad,0.6,0.11,-0.08,0.44,-0.04,0.42
sari_05_sad,0.64,0,-0.03,0.34,0.07,0.48,,sari_05_sad,0.64,0,-0.03,0.34,0.07,0.48
sari_07_sad,0.6,0.11,0,0.37,0,0.49,,sari_07_sad,0.6,0.11,0,0.37,0,0.49
sari_08_sad,0.59,0.13,0.2,0.33,0.05,0.47,,sari_08_sad,0.59,0.13,0.2,0.33,0.05,0.47
sari_09_sad,0.64,0.19,-0.09,0.33,-0.04,0.42,,sari_09_sad,0.64,0.19,-0.09,0.33,-0.04,0.42
sari_10_sad,0.4,-0.02,0.02,0.53,-0.09,0.54,,sari_10_sad,0.4,-0.02,0.02,0.53,-0.09,0.54
rum_vas_01_frequency,0.51,-0.2,0.12,0.17,0.19,0.62,,rum_vas_01_frequency,0.51,-0.2,0.12,0.17,0.19,0.62
rum_vas_02_control,0.31,-0.04,0.08,0.13,-0.21,0.83,,rum_vas_02_control,0.31,-0.04,0.08,0.13,-0.21,0.83
rum_vas_03_duration,0.34,0.13,0.03,0.3,-0.07,0.76,,rum_vas_03_duration,0.34,0.13,0.03,0.3,-0.07,0.76
rum_vas_04_distress,0.52,-0.05,-0.01,0.37,0.08,0.59,,rum_vas_04_distress,0.52,-0.05,-0.01,0.37,0.08,0.59
Initial eigenvalues,21.58,4.46,3.11,2.09,1.75,,,Initial eigenvalues,21.58,4.46,3.11,2.09,1.75,
Sum of squares loadings,21,4.77,3.62,2.52,2.12,,,Sum of squares loadings,21,4.77,3.62,2.52,2.12,
Variance explained,0.3,0.07,0.05,0.04,0.03,,,Variance explained,0.3,0.07,0.05,0.04,0.03,