,PA1,PA2,PA3,PA4,PA5
rrs_01,0.44,-0.16,0.21,-0.01,-0.02
rrs_02,0.56,0.04,0.09,0.18,0.16
rrs_03,0.44,0.12,0.38,0.12,0.06
rrs_04,0.39,-0.05,0.39,0.11,-0.02
rrs_05,0.66,-0.16,0.18,-0.17,0
rrs_06,0.46,-0.04,0.38,0.25,0.08
rrs_07,0.57,-0.14,-0.21,0.29,0.11
rrs_08,0.47,-0.27,0.35,-0.01,0.24
rrs_09,0.54,-0.03,0.34,0.18,0.15
rrs_10,0.64,-0.03,0.26,0.1,0
rrs_11,0.63,-0.01,0,0.22,-0.02
rrs_12,0.19,-0.18,-0.29,0.26,-0.04
rrs_13,0.52,0.11,0.42,0.01,-0.19
rrs_14,0.65,-0.04,0.17,0.26,0.01
rrs_15,0.65,0.02,0.18,-0.21,0.08
rrs_16,0.73,-0.07,0.29,0.09,0.11
rrs_17,0.58,0.07,0.39,-0.08,-0.01
rrs_18,0.63,0.04,0.53,-0.04,-0.09
rrs_19,0.55,-0.08,0.39,0.05,0.14
rrs_20,0.6,-0.16,-0.06,0.25,0.09
rrs_21,0.52,-0.04,-0.07,0.27,-0.02
rrs_22,0.69,0.03,0.4,-0.02,0
trash_01_automatically,0.63,-0.08,-0.12,-0.04,-0.28
trash_02_same_places,0.52,0.06,-0.02,0.16,-0.24
trash_03_hard_not_to,0.62,-0.11,0.14,-0.14,-0.3
trash_04_sad_anx_annoyed,0.57,0.23,-0.06,0.1,-0.03
trash_05_unintentionally,0.48,-0.24,-0.04,0.01,-0.06
trash_06_when_alone,0.64,-0.01,-0.12,0.1,0.03
trash_07_effort_to_stop,0.56,-0.12,0.11,0.04,-0.12
trash_08_same_times_day,0.34,-0.09,-0.22,0.19,-0.06
trash_09_start_before_realize,0.59,-0.16,-0.24,-0.26,-0.17
trash_10_response_same_sit,0.39,-0.23,-0.03,-0.03,-0.12
pswq_01_worries_bother_me,0.54,-0.2,0.12,-0.03,-0.43
pswq_02_dont_worry_things,0.52,0.23,-0.15,0,-0.34
pswq_03_things_worry_me,0.55,0.05,-0.01,0.03,-0.65
pswq_04_cant_help_worry,0.54,-0.05,-0.13,0.07,-0.56
pswq_05_worry_under_pressure,0.49,-0.05,0.15,0.06,-0.55
pswq_06_always_worrying,0.65,-0.09,0.06,-0.14,-0.48
pswq_07_easy_stop_worrying,0.27,0.09,0.01,0.03,-0.35
pswq_08_worry,0.53,0.08,0.07,-0.06,-0.52
pswq_09_never_worry,0.42,0.04,-0.15,0.1,-0.39
pswq_10_worry_all_my_life,0.5,0.05,-0.12,-0.04,-0.4
pswq_11_notice_i_worry,0.42,0,-0.09,0.11,-0.44
pswq_12_start_worry_cant_stop,0.63,-0.04,0.05,0,-0.49
pswq_13_worry_all_time,0.64,-0.06,-0.03,-0.08,-0.48
pswq_14_worry_till_thngs_done,0.54,0,-0.04,-0.17,-0.28
sari_01_angry,0.45,0.54,-0.01,-0.1,0.04
sari_02_angry,0.51,0.67,0.1,-0.04,-0.03
sari_03_angry,0.53,0.51,-0.09,0.23,0.15
sari_04_angry,0.6,0.57,0.07,-0.08,-0.01
sari_05_angry,0.54,0.53,0.08,0.02,-0.04
sari_06_angry,0.54,0.33,-0.34,0.19,0.18
sari_07_angry,0.58,0.59,0.02,0.07,0
sari_08_angry,0.54,0.58,-0.05,-0.04,0.08
sari_09_angry,0.56,0.72,0.01,0.1,-0.04
sari_10_angry,0.36,0.64,-0.05,-0.21,0.12
sari_11_angry,0.45,0.67,-0.01,-0.03,-0.09
sari_01_sad,0.58,-0.01,-0.17,-0.31,0
sari_02_sad,0.68,-0.06,0.11,-0.35,0.16
sari_03_sad,0.68,-0.17,-0.11,-0.18,0.24
sari_04_sad,0.62,0.07,0.01,-0.49,0.09
sari_05_sad,0.65,-0.04,-0.05,-0.3,0.03
sari_06_sad,0.55,-0.12,-0.45,0.04,0.01
sari_07_sad,0.62,0.07,-0.04,-0.35,0.01
sari_08_sad,0.63,0.08,-0.18,-0.28,-0.15
sari_09_sad,0.65,0.16,0.06,-0.35,0.08
sari_10_sad,0.41,-0.04,-0.04,-0.53,0.01
sari_11_sad,0.55,0.07,-0.04,-0.44,-0.09
rum_vas_01_frequency,0.53,-0.24,-0.16,-0.07,-0.12
rum_vas_02_control,-0.26,-0.01,-0.22,0.2,0.13
rum_vas_03_duration,0.34,0.12,0.01,-0.29,-0.03
rum_vas_04_distress,0.55,-0.1,-0.14,-0.29,0.04
Initial Eigenvalues,22.39,4.62,3.18,2.32,2
Sum of squares loadings,21.54,4.61,3.81,2.89,2.72
Proportion of variance,0.299,0.064,0.053,0.04,0.038